City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Vasto,IT,2021-09-27 17:58:14,42.1243,14.7059,71.96,86,34,1.48
277,Trofaiach,AT,2021-09-27 17:58:15,47.4167,15.0,58.91,96,36,4.97
278,Sohbatpur,PK,2021-09-27 17:58:15,28.5202,68.5434,93.22,29,0,6.17
279,High Level,CA,2021-09-27 17:53:16,58.5169,-117.136,46.51,100,90,10.36
280,Vila Franca Do Campo,PT,2021-09-27 17:54:22,37.7167,-25.4333,73.81,83,75,8.12
281,Buala,SB,2021-09-27 17:58:15,-8.145,159.5921,79.02,82,96,5.21
282,Robertsport,LR,2021-09-27 17:58:16,6.7533,-11.3686,76.8,85,100,18.19
283,Richards Bay,ZA,2021-09-27 17:57:14,-28.783,32.0377,78.51,49,2,16.87
284,Huaraz,PE,2021-09-27 17:58:16,-9.5333,-77.5333,68.68,25,53,4.36
285,Makakilo City,US,2021-09-27 17:58:17,21.3469,-158.0858,80.62,71,75,4.61
286,Mahebourg,MU,2021-09-27 17:54:35,-20.4081,57.7,72.25,78,40,14.97
287,Pingliang,CN,2021-09-27 17:58:17,35.5392,106.6861,58.39,93,100,1.25
288,Olinda,BR,2021-09-27 17:58:17,-8.0089,-34.8553,78.53,69,75,20.71
289,Blackfoot,US,2021-09-27 17:58:18,43.1905,-112.345,77.54,12,3,7.7
290,Port Elizabeth,ZA,2021-09-27 17:58:18,-33.918,25.5701,63.1,82,75,25.32
291,Coos Bay,US,2021-09-27 17:58:19,43.3665,-124.2179,59.02,97,90,6.91
292,Selfoss,IS,2021-09-27 17:58:19,63.9331,-20.9971,43.68,71,31,15.35
